Statement,Suspiciousness
org.joda.time.DateTimeFieldType#152,2.9991069186275285
org.joda.time.DateTimeFieldType#153,2.9991069186275285
org.joda.time.DateTimeFieldType#154,2.9991069186275285
org.joda.time.DateTimeFieldType#72,2.9991069186275285
org.joda.time.DateTimeFieldType#75,2.9991069186275285
org.joda.time.DateTimeFieldType#78,2.9991069186275285
org.joda.time.DateTimeFieldType#81,2.9991069186275285
org.joda.time.DateTimeFieldType#84,2.9991069186275285
org.joda.time.DateTimeFieldType#87,2.9991069186275285
org.joda.time.DateTimeFieldType#90,2.9991069186275285
org.joda.time.DateTimeFieldType#93,2.9991069186275285
org.joda.time.DateTimeFieldType#96,2.9991069186275285
org.joda.time.DateTimeFieldType#99,2.9991069186275285
org.joda.time.DateTimeFieldType#102,2.9991069186275285
org.joda.time.DateTimeFieldType#105,2.9991069186275285
org.joda.time.DateTimeFieldType#109,2.9991069186275285
org.joda.time.DateTimeFieldType#112,2.9991069186275285
org.joda.time.DateTimeFieldType#115,2.9991069186275285
org.joda.time.DateTimeFieldType#118,2.9991069186275285
org.joda.time.DateTimeFieldType#121,2.9991069186275285
org.joda.time.DateTimeFieldType#124,2.9991069186275285
org.joda.time.DateTimeFieldType#127,2.9991069186275285
org.joda.time.DateTimeFieldType#130,2.9991069186275285
org.joda.time.DateTimeFieldType#133,2.9991069186275285
org.joda.time.DateTimeFieldType#136,2.9991069186275285
org.joda.time.DateTimeFieldType#139,2.9991069186275285
org.joda.time.DateTimeFieldType#163,2.9991361955807916
org.joda.time.DateTimeFieldType#172,2.9991361955807916
org.joda.time.DateTimeFieldType#181,2.9991093359906422
org.joda.time.DateTimeFieldType#190,2.9991345840053825
org.joda.time.DateTimeFieldType#199,2.9991356583889885
org.joda.time.DateTimeFieldType#208,2.9991361955807916
org.joda.time.DateTimeFieldType#217,2.9991361955807916
org.joda.time.DateTimeFieldType#226,2.99913592698489
org.joda.time.DateTimeFieldType#235,2.9991361955807916
org.joda.time.DateTimeFieldType#244,2.9991361955807916
org.joda.time.DateTimeFieldType#253,2.9991361955807916
org.joda.time.DateTimeFieldType#263,2.9991361955807916
