Line,Suspiciousness
org/mockito/internal/creation/jmock/ClassImposterizer.java#89,0.0029143930872631762
org/mockito/AdditionalMatchers.java#819,0.0
org/mockito/internal/creation/jmock/ClassImposterizer.java#82,0.0
org/mockito/internal/creation/jmock/ClassImposterizer.java#81,0.0
org/mockito/internal/creation/jmock/ClassImposterizer.java#86,0.0029143930872631762
org/mockito/internal/creation/jmock/ClassImposterizer.java#87,0
org/mockito/internal/creation/jmock/ClassImposterizer.java#84,0.0029143930872631762
org/mockito/internal/creation/jmock/ClassImposterizer.java#85,0.0029143930872631762
org/mockito/AdditionalMatchers.java#927,0.0
org/mockito/Mockito.java#1090,0.0
org/mockito/Mockito.java#1091,0.0
org/mockito/exceptions/Reporter.java#182,0.0
org/mockito/exceptions/Reporter.java#183,0.0
org/mockito/exceptions/Reporter.java#180,0.0
org/mockito/exceptions/Reporter.java#181,0.0
org/mockito/internal/MockitoCore.java#80,0.0
org/mockito/exceptions/Reporter.java#188,0.0
org/mockito/exceptions/Reporter.java#189,0.0
org/mockito/internal/matchers/InstanceOf.java#16,0.0
org/mockito/exceptions/verification/SmartNullPointerException.java#15,0.0
org/mockito/exceptions/Reporter.java#292,0.0
org/mockito/internal/invocation/Invocation.java#186,0.0
org/mockito/internal/invocation/ArgumentsComparator.java#63,0.0
org/mockito/internal/invocation/Invocation.java#182,0.0
org/mockito/internal/creation/ClassNameFinder.java#10,0.0
org/mockito/internal/creation/ClassNameFinder.java#11,0.0
org/mockito/internal/creation/ClassNameFinder.java#13,0.0
org/mockito/internal/progress/ThreadSafeMockingProgress.java#20,0.0025468554065123453
org/mockito/internal/matchers/Equals.java#48,0.0
org/mockito/internal/matchers/Equals.java#46,0.0
org/mockito/internal/matchers/Equals.java#44,0.0
org/mockito/internal/matchers/Equals.java#45,0.0
org/mockito/internal/matchers/Equals.java#43,0.0
org/mockito/internal/creation/MethodInterceptorFilter.java#30,0.0029311494895015223
org/mockito/internal/MockitoCore.java#62,0.0
org/mockito/internal/MockitoCore.java#63,0
org/mockito/internal/MockitoCore.java#60,0.0
org/mockito/internal/MockitoCore.java#61,0
org/mockito/internal/MockitoCore.java#66,0.0
org/mockito/internal/MockitoCore.java#65,0.0
org/mockito/internal/invocation/SerializableMockitoMethod.java#71,0
org/mockito/internal/invocation/InvocationMarker.java#23,0.0
org/mockito/internal/invocation/InvocationMarker.java#20,0.0
org/mockito/Matchers.java#577,0.0
org/mockito/exceptions/Reporter.java#334,0.0
org/mockito/exceptions/Reporter.java#332,0.0
org/mockito/exceptions/Reporter.java#338,0.0
org/mockito/internal/creation/MockSettingsImpl.java#21,0.0
org/mockito/internal/creation/MockSettingsImpl.java#22,0.0
org/mockito/internal/creation/MockSettingsImpl.java#26,0.0
org/mockito/internal/creation/MockSettingsImpl.java#27,0
org/mockito/internal/MockitoCore.java#88,0.0
org/mockito/internal/MockitoCore.java#89,0
org/mockito/exceptions/Reporter.java#381,0.0
org/mockito/internal/matchers/LocalizedMatcher.java#19,0.0
org/mockito/internal/matchers/LocalizedMatcher.java#18,0.0
org/mockito/internal/matchers/LocalizedMatcher.java#17,0.0
org/mockito/internal/MockitoCore.java#81,0.0
org/mockito/internal/MockitoCore.java#82,0.0
org/mockito/AdditionalMatchers.java#546,0.0
org/mockito/internal/MockitoCore.java#84,0.0
org/mockito/internal/MockitoCore.java#85,0
org/mockito/internal/MockitoCore.java#87,0.0
org/mockito/internal/matchers/ArrayEquals.java#40,0.0
org/mockito/internal/matchers/ArrayEquals.java#41,0.0
org/mockito/internal/matchers/ArrayEquals.java#43,0.0
org/mockito/internal/matchers/Find.java#19,0.0
org/mockito/internal/matchers/Find.java#18,0.0
org/mockito/internal/matchers/ArrayEquals.java#47,0.0
org/mockito/internal/matchers/ArrayEquals.java#48,0.0
org/mockito/internal/matchers/Find.java#17,0.0
org/mockito/exceptions/Reporter.java#440,0.0
org/mockito/exceptions/Reporter.java#425,0.0
org/mockito/exceptions/Reporter.java#424,0.0
org/mockito/exceptions/Reporter.java#427,0.0
org/mockito/exceptions/Reporter.java#426,0.0
org/mockito/internal/progress/MockingProgressImpl.java#56,0.0
org/mockito/internal/progress/MockingProgressImpl.java#57,0.0
org/mockito/internal/progress/MockingProgressImpl.java#55,0.0
org/mockito/internal/progress/MockingProgressImpl.java#52,0.0017194241539859971
org/mockito/configuration/DefaultMockitoConfiguration.java#46,0
org/mockito/internal/progress/MockingProgressImpl.java#51,0.001692764800521775
org/mockito/internal/verification/AtLeast.java#52,0.0
org/mockito/internal/matchers/EqualsWithDelta.java#25,0.0
org/mockito/internal/matchers/EqualsWithDelta.java#24,0.0
org/mockito/internal/matchers/EqualsWithDelta.java#27,0.0
org/mockito/internal/matchers/EqualsWithDelta.java#26,0.0
org/mockito/internal/matchers/EqualsWithDelta.java#21,0.0
org/mockito/internal/matchers/EqualsWithDelta.java#20,0.0
org/mockito/Matchers.java#171,0.0
org/mockito/internal/configuration/GlobalConfiguration.java#19,0.0025468554065123453
org/mockito/exceptions/Reporter.java#479,0.0
org/mockito/Matchers.java#602,0.0
org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValues.java#86,0.0
org/mockito/exceptions/Reporter.java#129,0.0
org/mockito/Mockito.java#1416,0.0
org/mockito/AdditionalMatchers.java#729,0.0
org/mockito/Mockito.java#749,0.0
org/mockito/internal/invocation/InvocationMatcher.java#43,0.0016817128991149781
org/mockito/internal/invocation/InvocationMatcher.java#47,0.0018283949559289552
org/mockito/exceptions/Reporter.java#117,0.0
org/mockito/runners/MockitoJUnit44Runner.java#52,0.0
org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValues.java#88,0.0
org/mockito/runners/MockitoJUnit44Runner.java#51,0.0
org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValues.java#89,0.0021853499604889853
org/mockito/exceptions/Reporter.java#119,0.0
org/mockito/exceptions/verification/WantedButNotInvoked.java#20,0
org/mockito/Mockito.java#1307,0.0
org/mockito/internal/exceptions/base/StackTraceFilter.java#29,0.0029730780315492516
org/mockito/Matchers.java#512,0.0
org/mockito/internal/stubbing/ConsecutiveStubbing.java#14,0.003179123964943795
