Statement,Suspiciousness
org.apache.commons.math.util.FastMath#250,0.0
org.apache.commons.math.util.FastMath#251,0.0
org.apache.commons.math.util.FastMath#55,-0.0006554675356293425
org.apache.commons.math.util.FastMath#60,-0.0006554675356293425
org.apache.commons.math.util.FastMath#65,-0.0006554675356293425
org.apache.commons.math.util.FastMath#70,-0.0006554675356293425
org.apache.commons.math.util.FastMath#73,-0.0006554675356293425
org.apache.commons.math.util.FastMath#76,-0.0006554675356293425
org.apache.commons.math.util.FastMath#85,-0.0006554675356293425
org.apache.commons.math.util.FastMath#105,-0.0006554675356293425
org.apache.commons.math.util.FastMath#118,-0.0006554675356293425
org.apache.commons.math.util.FastMath#128,-0.0006554675356293425
org.apache.commons.math.util.FastMath#131,-0.0006554675356293425
org.apache.commons.math.util.FastMath#134,-0.0006554675356293425
org.apache.commons.math.util.FastMath#137,-0.0006554675356293425
org.apache.commons.math.util.FastMath#140,-0.0006554675356293425
org.apache.commons.math.util.FastMath#143,-0.0006554675356293425
org.apache.commons.math.util.FastMath#146,-0.0006554675356293425
org.apache.commons.math.util.FastMath#167,-0.0006554675356293425
org.apache.commons.math.util.FastMath#175,-0.0006554675356293425
org.apache.commons.math.util.FastMath#178,-0.0006554675356293425
org.apache.commons.math.util.FastMath#208,-0.0006554675356293425
org.apache.commons.math.util.FastMath#209,-0.0006554675356293425
org.apache.commons.math.util.FastMath#210,-0.0006554675356293425
org.apache.commons.math.util.FastMath#213,-0.0006554675356293425
org.apache.commons.math.util.FastMath#214,-0.0006554675356293425
org.apache.commons.math.util.FastMath#217,-0.0006554675356293425
org.apache.commons.math.util.FastMath#218,-0.0006554675356293425
org.apache.commons.math.util.FastMath#219,-0.0006554675356293425
org.apache.commons.math.util.FastMath#220,-0.0006554675356293425
org.apache.commons.math.util.FastMath#222,-0.0006554675356293425
org.apache.commons.math.util.FastMath#224,-0.0006554675356293425
org.apache.commons.math.util.FastMath#225,-0.0006554675356293425
org.apache.commons.math.util.FastMath#226,-0.0006554675356293425
org.apache.commons.math.util.FastMath#231,-0.0006554675356293425
org.apache.commons.math.util.FastMath#232,-0.0006554675356293425
org.apache.commons.math.util.FastMath#233,-0.0006554675356293425
org.apache.commons.math.util.FastMath#234,-0.0006554675356293425
org.apache.commons.math.util.FastMath#238,-0.0006554675356293425
org.apache.commons.math.util.FastMath#239,-0.0006554675356293425
org.apache.commons.math.util.FastMath#240,-0.0006554675356293425
org.apache.commons.math.util.FastMath#244,-0.0006554675356293425
org.apache.commons.math.util.FastMath#245,-0.0006554675356293425
org.apache.commons.math.util.FastMath#263,-9.363821937562036e-05
org.apache.commons.math.util.FastMath#264,0.0
org.apache.commons.math.util.FastMath#266,-9.363821937562036e-05
org.apache.commons.math.util.FastMath#267,-9.363821937562036e-05
org.apache.commons.math.util.FastMath#268,-9.363821937562036e-05
org.apache.commons.math.util.FastMath#277,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#285,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#286,0.0
org.apache.commons.math.util.FastMath#289,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#290,-1.872764387512407e-05
org.apache.commons.math.util.FastMath#293,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#294,-1.872764387512407e-05
org.apache.commons.math.util.FastMath#297,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#298,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#299,-3.745528775024814e-05
org.apache.commons.math.util.FastMath#301,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#303,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#304,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#306,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#307,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#308,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#311,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#312,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#313,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#314,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#317,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#319,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#322,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#323,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#324,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#325,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#326,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#327,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#329,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#330,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#331,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#339,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#340,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#341,0.0
org.apache.commons.math.util.FastMath#344,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#345,-1.872764387512407e-05
org.apache.commons.math.util.FastMath#348,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#349,-1.872764387512407e-05
org.apache.commons.math.util.FastMath#352,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#353,0.0
org.apache.commons.math.util.FastMath#356,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#357,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#358,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#363,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#364,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#365,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#367,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#368,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#370,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#371,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#372,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#375,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#376,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#377,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#378,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#381,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#383,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#385,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#386,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#389,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#390,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#391,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#392,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#393,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#394,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#396,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#397,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#398,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#400,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#401,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#403,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#404,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#407,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#408,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#409,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#410,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#411,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#412,-5.618293162537221e-05
org.apache.commons.math.util.FastMath#413,-5.618293162537221e-05
